Whitney RVT ,Hillhouse,25-13,"Mon, 4/9",L,Away • Non-League,3:45pm,new-haven,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Abbott RVT,15-0,"Wed, 4/11",L,Away • Non-League,3:00pm,danbury,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,O'Brien RVT,23-8,"Fri, 4/13",L,Away • League,3:45pm,ansonia,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Wilcox RVT,22-0,"Wed, 4/18",L,Home • Non-League,3:45pm,meriden,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Platt RVT,nan-nan,"Thu, 4/19",NoScoreReported,Home • League,11:30am,milford,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Platt RVT,nan-nan,"Thu, 4/19",NoScoreReported,Home • League,12:00pm,milford,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Platt RVT,nan-nan,"Thu, 4/19",NoScoreReported,Home • League,3:45pm,milford,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Platt RVT,21-0,"Fri, 4/20",L,Home • League,11:30am,milford,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Vinal RVT,26-3,"Mon, 4/23",L,Away • Non-League,3:45pm,middletown,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Vinal RVT,nan-nan,"Mon, 4/23",NoScoreReported,Away • Non-League,3:45pm,middletown,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Kaynor RVT,nan-nan,"Fri, 4/27",NoScoreReported,Away • Non-League,3:45pm,waterbury,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Hillhouse,nan-nan,"Mon, 4/30",NoScoreReported,Home • Non-League,3:45pm,new-haven,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Hillhouse,22-2,"Mon, 4/30",L,Home • Non-League,3:45pm,new-haven,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,O'Brien RVT,nan-nan,"Wed, 5/2",NoScoreReported,Home • League,3:45pm,ansonia,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Kaynor RVT,nan-nan,"Thu, 5/3",NoScoreReported,Away • Non-League,3:45pm,waterbury,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Kaynor Tech,16-1,"Thu, 5/3",L,Away • League,3:45pm,waterbury,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Wilbur Cross,nan-nan,"Fri, 5/4",NoScoreReported,Home • Non-League,3:45pm,new-haven,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Wilbur Cross,24-2,"Fri, 5/4",L,Away • Non-League,3:45pm,new-haven,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Wilcox RVT,17-0,"Mon, 5/7",L,Away • Non-League,3:45pm,meriden,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Wilcox RVT,nan-nan,"Mon, 5/7",NoScoreReported,Away • Non-League,3:45pm,meriden,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Platt RVT,nan-nan,"Wed, 5/9",NoScoreReported,Away • League,3:45pm,milford,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Platt RVT,22-1,"Wed, 5/9",L,Away • League,3:45pm,milford,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Bullard-Havens,14-10,"Thu, 5/10",L,Away • League,3:45pm,bridgeport,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Bullard-Havens,nan-nan,"Fri, 5/11",NoScoreReported,Away • League,3:45pm,bridgeport,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Bullard-Havens,19-17,"Mon, 5/14",W,Home • League,3:45pm,bridgeport,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Wolcott RVT,16-0,"Wed, 5/16",L,Home • League,6:30pm,torrington,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Vinal RVT,nan-nan,"Fri, 5/18",NoScoreReported,Home • Non-League,3:45pm,middletown,CT,"71 Jones Rd, Hamden, CT, 06514"
Whitney RVT ,Vinal RVT,23-7,"Fri, 5/18",L,Home • Non-League,3:45pm,middletown,CT,"71 Jones Rd, Hamden, CT, 06514"
Red Mesa ,Rock Point,12-10,"Thu, 3/1",L,Away • Section,12:00pm,rock-point,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Rock Point,10-9,"Thu, 3/1",W,Away • Section,2:00pm,rock-point,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Ganado,22-2,"Tue, 3/6",L,Away • Non-Section,2:00pm,ganado,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Ganado,12-2,"Tue, 3/6",L,Away • Non-Section,4:00pm,ganado,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Monument Valley,26-0,"Tue, 3/13",L,Home • Non-Section,2:30pm,kayenta,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Rock Point,18-7,"Thu, 3/15",L,Home • Section,1:00pm,rock-point,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Rock Point,20-15,"Thu, 3/15",L,Home • Section,3:00pm,rock-point,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Window Rock,26-1,"Tue, 3/27",L,Home • Non-Section,4:00pm,fort-defiance,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Greyhills Academy,17-2,"Fri, 3/30",L,Away • Section,2:00pm,tuba-city,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Greyhills Academy,15-5,"Fri, 3/30",L,Away • Section,4:00pm,tuba-city,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Fredonia,20-12,"Fri, 4/6",W,Home • Section,2:00pm,fredonia,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Fredonia,13-3,"Fri, 4/6",W,Home • Section,4:00pm,fredonia,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Northwest,17-13,"Wed, 4/11",L,Home • Non-Section,3:00pm,shiprock,NM,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,Northwest,5-4,"Wed, 4/11",L,Home • Non-Section,4:00pm,shiprock,NM,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,St. Michael,15-4,"Mon, 4/16",L,Home • Section,2:00pm,st-michaels,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
Red Mesa ,St. Michael,17-4,"Mon, 4/16",L,Home • Section,4:00pm,st-michaels,AZ,"N. Hwy 160, Teec Nos Pos, AZ, 86514"
The Meadows School ,Sandy Valley,15-4,"Fri, 3/9",L,Neutral • Tournament,9:15am,sandy-valley,NV,"8601 Scholar Ln, Las Vegas, NV, 89128"
