,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
160,East Central,133,South Dearborn,37,W,12/5,6:00p,South Dearborn High School,1 Trojan Pl St.,Leon,IN,47012,Aurora,IN
161,East Central,253,Milan,107,W,12/7,6:00p,East Central High School,1 Trojan Pl St.,Leon,IN,47012,Milan,IN
162,East Central,122,Shelbyville,63,W,12/14,6:00p,East Central High School,1 Trojan Pl St.,Leon,IN,47012,Shelbyville,IN
163,East Central,115,Connersville,68,W,1/9,6:00p,East Central High School,1 Trojan Pl St.,Leon,IN,47012,Connersville,IN
164,East Central,255,Batesville,90,W,1/16,6:00p,East Central High School,1 Trojan Pl St.,Leon,IN,47012,Batesville,IN
171,Hamilton Heights,107,Oak Hill,79,W,11/13,6:00p,Hamilton Heights High School,25802 Sr 19,Arcadia,IN,46030,Converse,IN
172,Hamilton Heights,108,Lebanon,78,W,11/16,6:00p,Lebanon High School,25802 Sr 19,Arcadia,IN,46030,Lebanon,IN
173,Hamilton Heights,135,Anderson,49,W,11/21,5:30p,Anderson High School,25802 Sr 19,Arcadia,IN,46030,Anderson,IN
174,Hamilton Heights,138,Eastern,48,W,11/28,5:30p,Eastern High School,25802 Sr 19,Arcadia,IN,46030,Greentown,IN
175,Hamilton Heights,134,Tipton,51,W,11/30,5:30p,Hamilton Heights High School,25802 Sr 19,Arcadia,IN,46030,Tipton,IN
176,Hamilton Heights,129,Lewis Cass,54,W,12/7,6:00p,Hamilton Heights High School,25802 Sr 19,Arcadia,IN,46030,Walton,IN
177,Hamilton Heights,120,Western,66,W,1/9,5:30p,Western High School,25802 Sr 19,Arcadia,IN,46030,Russiaville,IN
178,Hamilton Heights,116,Northwestern,70,W,1/13,10:00a,Northwestern High School,25802 Sr 19,Arcadia,IN,46030,Kokomo,IN
187,South,45,Central,125,L,8/30,3:00p,Central High School,1213 W Allison Rd,Cheyenne,WY,82007,Cheyenne,WY
188,South,437,Central,1186,L,10/5,4:00p,Central High School,1213 W Allison Rd,Cheyenne,WY,82007,Cheyenne,WY
189,Antelope Valley,58,Littlerock,35,W,3/7,3:30p,Antelope Valley High School,44900 N Division St,Lancaster,CA,93535,Littlerock,CA
190,Antelope Valley,25,Eastside,66,L,3/14,3:30p,Eastside High School,44900 N Division St,Lancaster,CA,93535,Lancaster,CA
191,Antelope Valley,21,Palmdale,119,L,3/29,3:30p,Palmdale High School,44900 N Division St,Lancaster,CA,93535,Palmdale,CA
192,Antelope Valley,2,Highland,134,L,4/5,3:30p,Highland High School,44900 N Division St,Lancaster,CA,93535,Palmdale,CA
193,Antelope Valley,4,Quartz Hill,140,L,4/11,3:30p,Quartz Hill High School,44900 N Division St,Lancaster,CA,93535,Quartz Hill,CA
