,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
31,Gila Ridge,176,Kofa,88,W,9/21,4:00p,Gila Ridge High School,7150 East 24th Street,Yuma,AZ,85365,Yuma,AZ
32,Gila Ridge,130,Mohave,155,L,10/4,4:00p,Mohave High School,7150 East 24th Street,Yuma,AZ,85365,Bullhead City,AZ
33,Gila Ridge,154,Lake Havasu,136,W,10/19,4:00p,Gila Ridge High School,7150 East 24th Street,Yuma,AZ,85365,Lake Havasu City,AZ
34,Horizon,146,Millennium,77,W,10/5,4:00p,Horizon High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Goodyear,AZ
35,Kofa,88,Gila Ridge,176,L,9/21,4:00p,Gila Ridge High School,3100 S Ave A,Yuma,AZ,85364,Yuma,AZ
36,Lake Havasu,136,Gila Ridge,154,L,10/19,4:00p,Gila Ridge High School,2675 S. Palo Verde Lake Havasu,City,AZ,86403,Yuma,AZ
37,Marcos de Niza,63,Shadow Mountain,113,L,9/14,4:00p,Shadow Mountain High School,6000 South Lakeshore Drive,Tempe,AZ,85283,Phoenix,AZ
38,Millennium,120,Tolleson,48,W,9/7,4:00p,Millennium High School,14802 W Wigwam Blvd,Goodyear,AZ,85338,Tolleson,AZ
39,Millennium,41,Desert Ridge,144,L,9/21,4:00p,Desert Ridge High School,14802 W Wigwam Blvd,Goodyear,AZ,85338,Mesa,AZ
40,Millennium,33,Mountain View,136,L,9/28,4:00p,Mountain View High School,14802 W Wigwam Blvd,Goodyear,AZ,85338,Mesa,AZ
41,Millennium,77,Horizon,146,L,10/5,4:00p,Horizon High School,14802 W Wigwam Blvd,Goodyear,AZ,85338,Scottsdale,AZ
42,Millennium,75,Mountain Ridge,108,L,10/12,4:00p,Millennium High School,14802 W Wigwam Blvd,Goodyear,AZ,85338,Glendale,AZ
43,Millennium,73,Mountain Pointe,106,L,10/20,4:00p,Millennium High School,14802 W Wigwam Blvd,Goodyear,AZ,85338,Phoenix,AZ
