,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
92,Thunderbird,81,Deer Valley,88,L,8/31,4:00p,Thunderbird High School,1750 W Thunderbird Rd,Phoenix,AZ,85023,Glendale,AZ
93,Tolleson,69,Valley Vista,89,L,8/31,4:00p,Valley Vista High School,9419 W Van Buren,Tolleson,AZ,85353,Surprise,AZ
94,Tolleson,50,Millennium,119,L,9/7,4:00p,Millennium High School,9419 W Van Buren,Tolleson,AZ,85353,Goodyear,AZ
95,Valley Vista,89,Tolleson,69,W,8/31,4:00p,Valley Vista High School,15550 W Parkview Pl,Surprise,AZ,85374,Tolleson,AZ
96,Veritas Prep,98,Paradise Valley,131,L,8/31,4:00p,Paradise Valley High School,3102 N. 56th Street,Phoenix,AZ,85108,Phoenix,AZ
97,Veritas Prep,50,Horizon,117,L,10/5,4:00p,Horizon High School,3102 N. 56th Street,Phoenix,AZ,85108,Scottsdale,AZ
98,Walden Grove,65,Desert Christian,23,W,9/28,4:00p,Walden Grove High School,15510 S Sahuarita Park Rd,Sahuarita,AZ,85629,Tucson,AZ
99,Yuma,32,Gila Ridge,222,L,9/19,4:00p,Yuma High School,400 S 6Th Ave,Yuma,AZ,85364,Yuma,AZ
100,Andrew Jackson,6,ED White,116,L,9/28,4:00p,ED White High School,3816 N MAIN ST,Jacksonville,FL,32206,Jacksonville,FL
101,Astronaut,87,Space Coast,91,L,8/24,4:30p,Astronaut High School,800 War Eagle Blvd,Titusville,FL,32796,Cocoa,FL
102,Bolles,153,Pine Crest,93,W,9/22,4:30p,Pine Crest High School,7400 San Jose Blvd,Jacksonville,FL,32217,Fort Lauderdale,FL
103,Cardinal Newman,24,Royal Palm Beach,64,L,9/28,4:00p,Royal Palm Beach High School,512 Spencer Dr West Palm,Beach,FL,33409,Royal Palm Beach,FL
104,Cornerstone Charter Academy,29,East Ridge,137,L,10/3,4:30p,East Ridge High School,5903 Randolph Ave Belle,Isle,FL,32809,Clermont,FL
105,Dreyfoos School of the Arts,132,Royal Palm Beach,27,W,8/31,4:30p,Royal Palm Beach High School,501 South Sapodilla Drive West Palm,Beach,FL,33401,Royal Palm Beach,FL
106,Dreyfoos School of the Arts,119,Lake Worth,2,W,9/27,4:30p,Lake Worth High School,501 South Sapodilla Drive West Palm,Beach,FL,33401,Lake Worth,FL
107,ED White,51,Parker,70,L,9/21,4:00p,ED White High School,1700 Old Middleburg Rd N,Jacksonville,FL,32210,Jacksonville,FL
108,ED White,82,Englewood,33,W,9/26,4:00p,ED White High School,1700 Old Middleburg Rd N,Jacksonville,FL,32210,Jacksonville,FL
109,ED White,116,Andrew Jackson,6,W,9/28,4:00p,ED White High School,1700 Old Middleburg Rd N,Jacksonville,FL,32210,Jacksonville,FL
110,Lake Worth,2,Dreyfoos School of the Arts,119,L,9/27,4:30p,Lake Worth High School,1701 Lake Worth Rd Lake,Worth,FL,33460,West Palm Beach,FL
111,Land O' Lakes,116,Sunlake,69,W,9/13,6:00p,Sunlake High School,20325 Gator Ln Land O',Lakes,FL,34638,Land O' Lakes,FL
112,Montverde Academy,129,East Ridge,145,L,8/29,4:00p,Montverde Academy ,17235 7Th St,Montverde,FL,34756,Clermont,FL
113,Nature Coast Tech,89,Crystal River,79,W,8/22,6:00p,Crystal River High School,4057 California St,Brooksville,FL,34604,Crystal River,FL
114,Olympia,112,West Orange,71,W,9/6,3:00p,West Orange High School,4301 S Apopka Vineland Rd,Orlando,FL,32835,Winter Garden,FL
